account_id,note_id,title,url,note_score,selection_reason
62f2529b000000001f01627f,666c1412000000000e03058c,论留学机构老师的前后反差,https://www.xiaohongshu.com/explore/666c1412000000000e03058c?xsec_token=ABNABFGn0UIrsqboxRvC_qPJxwczpTAtfCkjokSdJTADk=&xsec_source=pc_search,12868.0,top by interaction
668535e70000000003032b7a,68809e43000000002203e3e6,小女孩发展无偿帮助（留学生版）,https://www.xiaohongshu.com/explore/68809e43000000002203e3e6?xsec_token=ABiNJKtjp1SkwStqWjZPqtnS2savilrZ9-7mW92vs0E1U=&xsec_source=pc_search,4088.0,top by interaction
638ea9d7000000001f01d7f7,664176cd000000001e03a636,留学生1v1辅导|留学生的“作业帮”,https://www.xiaohongshu.com/explore/664176cd000000001e03a636?xsec_token=AB4lkGWRMz0XJMiD8dojAInC57E0nkZmwgOUkdU7R3LnE=&xsec_source=pc_search,2984.0,top by interaction
638ea9d7000000001f01d7f7,645601f50000000013034d7d,留学生你的Essay有着落了❗试试1v1论文辅导,https://www.xiaohongshu.com/explore/645601f50000000013034d7d?xsec_token=ABwVUBR5QdmBSf5gkO2PT5lAPhLNVOYE_YtteispGKP6I=&xsec_source=pc_search,461.0,top by interaction
67e571cf000000000e0133f9,69cf7df7000000001b001416,🇦🇺🧩｜留子假期弯道超车,https://www.xiaohongshu.com/explore/69cf7df7000000001b001416?xsec_token=ABgk7VsQgN2l8N4NxuiUbfKXxpiyce9WUZut_AEZwVU8o=&xsec_source=pc_search,2373.0,top by interaction
69114145000000003700a77f,69c1ee7100000000220034a9,留学中介避雷（完全版）,https://www.xiaohongshu.com/explore/69c1ee7100000000220034a9?xsec_token=ABAUqDWCy5leDo_BLilwH2ecAowwbI_UwEoErY3sBGo2Y=&xsec_source=pc_search,3819.0,top by interaction
5e9d37f20000000001004cec,67e58240000000001d026c4f,🇬🇧英区留学远程副业 三月收入930磅+,https://www.xiaohongshu.com/explore/67e58240000000001d026c4f?xsec_token=ABC4gK99_pVfASbDN2zSEyj938MAyt7nV8Qk-4ahFDazs=&xsec_source=pc_search,1597.0,top by interaction
5c751d740000000011007314,69c512df000000002102dee8,School Day🎒,https://www.xiaohongshu.com/explore/69c512df000000002102dee8?xsec_token=ABdInmiNOQOFdxP-g-d_xMWhyX6llF21NIwysv3S_RAFg=&xsec_source=pc_search,897.0,top by interaction
66379aec000000000b031810,668274ac000000001f005e6f,🇬🇧上这破大学，一天天essay都写不完,https://www.xiaohongshu.com/explore/668274ac000000001f005e6f?xsec_token=ABoVMlL1Lee351OlwHAGDBnzxvCPdDHdi4C4-QgnmSFH8=&xsec_source=pc_search,964.0,top by interaction
5c0cb7120000000007036c84,6a310a92000000000803d112,🇦🇺毕业季学姐对于学术不端的建议,https://www.xiaohongshu.com/explore/6a310a92000000000803d112?xsec_token=ABh9xv6LyDYNjFpuFnFoow5_oWScC43kI4BnJKwSHwtZ4=&xsec_source=pc_search,504.0,top by interaction
